topic_id,keywords,processed_text_for_model,all_emotion_scores,dominant_emotion,dominant_score,big5_profile_mapped,interpreted_emotion_flavor
16,general,Explore the emotional landscape surrounding a villain character whose motivations include: general,"{'sadness': 0.5020776987075806, 'fear': 0.3448597192764282, 'anger': 0.1271326094865799, 'joy': 0.01804414764046669, 'love': 0.0066715809516608715, 'surprise': 0.001214199815876782}",sadness,0.5020776987075806,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
17,death,Explore the emotional landscape surrounding a villain character whose motivations include: death,"{'sadness': 0.8228890299797058, 'fear': 0.1272261142730713, 'anger': 0.03953905031085014, 'joy': 0.006599303800612688, 'love': 0.002977534895762801, 'surprise': 0.0007689283811487257}",sadness,0.8228890299797058,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
22,delusion,Explore the emotional landscape surrounding a villain character whose motivations include: delusion,"{'sadness': 0.6023794412612915, 'fear': 0.353893905878067, 'anger': 0.02938009239733219, 'joy': 0.009832428768277168, 'love': 0.003386155469343066, 'surprise': 0.0011279721511527896}",sadness,0.6023794412612915,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
23,criminal,Explore the emotional landscape surrounding a villain character whose motivations include: criminal,"{'sadness': 0.38120490312576294, 'fear': 0.37303459644317627, 'anger': 0.22265325486660004, 'joy': 0.016098201274871826, 'love': 0.005628617480397224, 'surprise': 0.0013804864138364792}",sadness,0.3812049031257629,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Low', 'Neuroticism': 'High'}",General Sadness
25,mass,Explore the emotional landscape surrounding a villain character whose motivations include: mass,"{'sadness': 0.5292665362358093, 'fear': 0.3260287642478943, 'anger': 0.12227005511522293, 'joy': 0.01571633107960224, 'love': 0.0055323438718914986, 'surprise': 0.0011858857469633222}",sadness,0.5292665362358093,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'High', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
28,smoking,Explore the emotional landscape surrounding a villain character whose motivations include: smoking,"{'sadness': 0.5249559283256531, 'fear': 0.27941447496414185, 'anger': 0.17613418400287628, 'joy': 0.011998186819255352, 'love': 0.006281569600105286, 'surprise': 0.0012156922603026032}",sadness,0.5249559283256531,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
31,nazi,Explore the emotional landscape surrounding a villain character whose motivations include: nazi,"{'sadness': 0.4971778988838196, 'anger': 0.2863541543483734, 'fear': 0.2003759741783142, 'joy': 0.007344547659158707, 'love': 0.007343906909227371, 'surprise': 0.0014034314081072807}",sadness,0.4971778988838196,"{'Openness': 'Low', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
32,german,Explore the emotional landscape surrounding a villain character whose motivations include: german,"{'sadness': 0.49522116780281067, 'fear': 0.3330194652080536, 'anger': 0.14664232730865479, 'joy': 0.016150526702404022, 'love': 0.007682825904339552, 'surprise': 0.0012836781097576022}",sadness,0.4952211678028106,"{'Openness': 'Low', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
33,abuse,Explore the emotional landscape surrounding a villain character whose motivations include: abuse,"{'sadness': 0.9124669432640076, 'fear': 0.06356838345527649, 'anger': 0.019757770001888275, 'joy': 0.0020331055857241154, 'love': 0.0015961674507707357, 'surprise': 0.0005775581812486053}",sadness,0.9124669432640076,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Low', 'Neuroticism': 'High'}",General Sadness
34,two-face,Explore the emotional landscape surrounding a villain character whose motivations include: two-face,"{'sadness': 0.5206009149551392, 'fear': 0.3298933506011963, 'anger': 0.12896235287189484, 'joy': 0.014163781888782978, 'love': 0.005183052737265825, 'surprise': 0.0011964996811002493}",sadness,0.5206009149551392,"{'Openness': 'Medium', 'Conscientiousness': 'High', 'Extraversion': 'Medium', 'Agreeableness': 'Very Low', 'Neuroticism': 'Medium'}",Feigned Sadness / Manipulative Pity Play
35,desire,Explore the emotional landscape surrounding a villain character whose motivations include: desire,"{'sadness': 0.5567933917045593, 'fear': 0.26074984669685364, 'anger': 0.15278001129627228, 'joy': 0.015681929886341095, 'love': 0.012637668289244175, 'surprise': 0.001357200089842081}",sadness,0.5567933917045593,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
36,depression,Explore the emotional landscape surrounding a villain character whose motivations include: depression,"{'sadness': 0.9436998963356018, 'fear': 0.037092287093400955, 'anger': 0.014591177925467491, 'joy': 0.0025946139357984066, 'love': 0.001560509903356433, 'surprise': 0.0004614342760760337}",sadness,0.9436998963356018,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
37,racism,Explore the emotional landscape surrounding a villain character whose motivations include: racism,"{'sadness': 0.6819782257080078, 'anger': 0.25096768140792847, 'fear': 0.05687098205089569, 'joy': 0.005673693958669901, 'love': 0.0035733834374696016, 'surprise': 0.0009359729592688382}",sadness,0.6819782257080078,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Low', 'Neuroticism': 'High'}",General Sadness
40,leadership ,Explore the emotional landscape surrounding a villain character whose motivations include: leadership ,"{'sadness': 0.45091554522514343, 'fear': 0.20526935160160065, 'joy': 0.1668626219034195, 'anger': 0.16315744817256927, 'love': 0.012224119156599045, 'surprise': 0.001571004162542522}",sadness,0.4509155452251434,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
44,like,Explore the emotional landscape surrounding a villain character whose motivations include: like,"{'sadness': 0.6784090399742126, 'fear': 0.2102005034685135, 'anger': 0.08836720138788223, 'joy': 0.015202596783638, 'love': 0.006685198750346899, 'surprise': 0.0011354502057656646}",sadness,0.6784090399742126,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
45,evil ,Explore the emotional landscape surrounding a villain character whose motivations include: evil ,"{'sadness': 0.7579984068870544, 'anger': 0.22418376803398132, 'fear': 0.009459342807531357, 'joy': 0.005594323854893446, 'love': 0.0022364151664078236, 'surprise': 0.0005276788724586368}",sadness,0.7579984068870544,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
46,dark,Explore the emotional landscape surrounding a villain character whose motivations include: dark,"{'sadness': 0.632810652256012, 'fear': 0.2957891821861267, 'anger': 0.06069205701351166, 'joy': 0.006564369425177574, 'love': 0.003120886394754052, 'surprise': 0.0010228123283013701}",sadness,0.632810652256012,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
47,staff,Explore the emotional landscape surrounding a villain character whose motivations include: staff,"{'sadness': 0.538770854473114, 'fear': 0.31259921193122864, 'anger': 0.12504169344902039, 'joy': 0.01683288812637329, 'love': 0.005556813906878233, 'surprise': 0.001198519952595234}",sadness,0.538770854473114,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
48,control,Explore the emotional landscape surrounding a villain character whose motivations include: control,"{'sadness': 0.5333987474441528, 'fear': 0.3101900815963745, 'anger': 0.11906076222658157, 'joy': 0.029930269345641136, 'love': 0.006198613438755274, 'surprise': 0.0012214748421683908}",sadness,0.5333987474441528,"{'Openness': 'Medium', 'Conscientiousness': 'High', 'Extraversion': 'Medium', 'Agreeableness': 'Low', 'Neuroticism': 'High'}",General Sadness
49,disorder,Explore the emotional landscape surrounding a villain character whose motivations include: disorder,"{'sadness': 0.5937857031822205, 'fear': 0.3168066740036011, 'anger': 0.07817165553569794, 'joy': 0.007362870499491692, 'love': 0.0026970303151756525, 'surprise': 0.0011760672787204385}",sadness,0.5937857031822205,"{'Openness': 'Medium', 'Conscientiousness': 'Low', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
50,power,Explore the emotional landscape surrounding a villain character whose motivations include: power,"{'sadness': 0.5041113495826721, 'fear': 0.2977236807346344, 'anger': 0.1615372747182846, 'joy': 0.027822192758321762, 'love': 0.0074411965906620026, 'surprise': 0.0013643528800457716}",sadness,0.5041113495826721,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'High', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
54,violence,Explore the emotional landscape surrounding a villain character whose motivations include: violence,"{'sadness': 0.39268386363983154, 'anger': 0.3143666982650757, 'fear': 0.28047633171081543, 'joy': 0.0077962446957826614, 'love': 0.003527233609929681, 'surprise': 0.0011495801154524088}",sadness,0.3926838636398315,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
55,luxury,Explore the emotional landscape surrounding a villain character whose motivations include: luxury,"{'sadness': 0.6622791290283203, 'fear': 0.2016908824443817, 'anger': 0.08695917576551437, 'joy': 0.0373065359890461, 'love': 0.010509191080927849, 'surprise': 0.0012550677638500929}",sadness,0.6622791290283203,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
56,kill,Explore the emotional landscape surrounding a villain character whose motivations include: kill,"{'sadness': 0.49681589007377625, 'fear': 0.27532127499580383, 'anger': 0.21045038104057312, 'joy': 0.012016422115266323, 'love': 0.0043050809763371944, 'surprise': 0.0010910265846177936}",sadness,0.4968158900737762,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
58,lack,Explore the emotional landscape surrounding a villain character whose motivations include: lack,"{'sadness': 0.877250611782074, 'fear': 0.09498665481805801, 'anger': 0.02200508303940296, 'joy': 0.003264805069193244, 'love': 0.001864807098172605, 'surprise': 0.0006280445959419012}",sadness,0.877250611782074,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
59,love,Explore the emotional landscape surrounding a villain character whose motivations include: love,"{'sadness': 0.7226056456565857, 'fear': 0.12442731112241745, 'anger': 0.1012653335928917, 'love': 0.03266677260398865, 'joy': 0.017699621617794037, 'surprise': 0.0013353971298784018}",sadness,0.7226056456565857,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
62,misogyny,Explore the emotional landscape surrounding a villain character whose motivations include: misogyny,"{'sadness': 0.9451351165771484, 'anger': 0.050361745059490204, 'fear': 0.002922599669545889, 'joy': 0.0007070971769280732, 'love': 0.0005328828701749444, 'surprise': 0.0003405134775675833}",sadness,0.9451351165771484,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Low', 'Neuroticism': 'High'}",General Sadness
63,belief,Explore the emotional landscape surrounding a villain character whose motivations include: belief,"{'sadness': 0.4460943043231964, 'fear': 0.38132286071777344, 'anger': 0.12799696624279022, 'joy': 0.036592114716768265, 'love': 0.006601657718420029, 'surprise': 0.001392111531458795}",sadness,0.4460943043231964,"{'Openness': 'Low', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
64,victim,Explore the emotional landscape surrounding a villain character whose motivations include: victim,"{'sadness': 0.6197136044502258, 'fear': 0.3110857903957367, 'anger': 0.058048065751791, 'joy': 0.0072150942869484425, 'love': 0.002827086253091693, 'surprise': 0.0011104136938229203}",sadness,0.6197136044502258,"{'Openness': 'Medium', 'Conscientiousness': 'High', 'Extraversion': 'Medium', 'Agreeableness': 'Very Low', 'Neuroticism': 'Medium'}",Feigned Sadness / Manipulative Pity Play
65,commander,Explore the emotional landscape surrounding a villain character whose motivations include: commander,"{'sadness': 0.5365967154502869, 'fear': 0.34156447649002075, 'anger': 0.09688375890254974, 'joy': 0.017360258847475052, 'love': 0.0064654224552214146, 'surprise': 0.0011293143033981323}",sadness,0.5365967154502869,"{'Openness': 'Medium', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
66,perversion,Explore the emotional landscape surrounding a villain character whose motivations include: perversion,"{'sadness': 0.6552175283432007, 'anger': 0.19450397789478302, 'fear': 0.133649080991745, 'joy': 0.010646453127264977, 'love': 0.004942060448229313, 'surprise': 0.0010409244569018483}",sadness,0.6552175283432007,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
67,strength,Explore the emotional landscape surrounding a villain character whose motivations include: strength,"{'sadness': 0.5586191415786743, 'fear': 0.27125808596611023, 'anger': 0.11365561932325363, 'joy': 0.04313694313168526, 'love': 0.011952674016356468, 'surprise': 0.0013775421539321542}",sadness,0.5586191415786743,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
69,anger,Explore the emotional landscape surrounding a villain character whose motivations include: anger,"{'sadness': 0.4780312478542328, 'anger': 0.3603413701057434, 'fear': 0.14775337278842926, 'joy': 0.009110987186431885, 'love': 0.003746860893443227, 'surprise': 0.0010161481332033873}",sadness,0.4780312478542328,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Very Low', 'Neuroticism': 'Very High'}",Vengeful Sadness / Bitter Resentment
71,morality,Explore the emotional landscape surrounding a villain character whose motivations include: morality,"{'sadness': 0.4972626566886902, 'anger': 0.2696040868759155, 'fear': 0.1766747236251831, 'joy': 0.04510786384344101, 'love': 0.010154776275157928, 'surprise': 0.0011959710391238332}",sadness,0.4972626566886902,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
73,joke,Explore the emotional landscape surrounding a villain character whose motivations include: joke,"{'sadness': 0.513378381729126, 'anger': 0.26249125599861145, 'fear': 0.20240171253681183, 'joy': 0.01590564474463463, 'love': 0.004620345775038004, 'surprise': 0.001202735467813909}",sadness,0.513378381729126,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'High', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
74,obsession,Explore the emotional landscape surrounding a villain character whose motivations include: obsession,"{'sadness': 0.3934071958065033, 'fear': 0.3903777599334717, 'anger': 0.20086830854415894, 'love': 0.0076907421462237835, 'joy': 0.0061383373104035854, 'surprise': 0.0015177108580246568}",sadness,0.3934071958065033,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
75,individual,Explore the emotional landscape surrounding a villain character whose motivations include: individual,"{'sadness': 0.5962721109390259, 'fear': 0.2729876637458801, 'anger': 0.10221263766288757, 'joy': 0.021459423005580902, 'love': 0.005906729027628899, 'surprise': 0.0011614842806011438}",sadness,0.5962721109390259,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
77,drug,Explore the emotional landscape surrounding a villain character whose motivations include: drug,"{'sadness': 0.6866017580032349, 'fear': 0.21642901003360748, 'anger': 0.08060472458600998, 'joy': 0.009784596040844917, 'love': 0.005500844679772854, 'surprise': 0.0010790759697556496}",sadness,0.6866017580032349,"{'Openness': 'Medium', 'Conscientiousness': 'Low', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
85,enjoy,Explore the emotional landscape surrounding a villain character whose motivations include: enjoy,"{'sadness': 0.7357825040817261, 'fear': 0.11334086954593658, 'anger': 0.09184804558753967, 'joy': 0.04188841953873634, 'love': 0.01601819321513176, 'surprise': 0.0011219728039577603}",sadness,0.7357825040817261,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
86,torment ,Explore the emotional landscape surrounding a villain character whose motivations include: torment ,"{'sadness': 0.7816569805145264, 'fear': 0.1080319881439209, 'anger': 0.10254143923521042, 'joy': 0.003806843888014555, 'love': 0.00316027645021677, 'surprise': 0.000802499707788229}",sadness,0.7816569805145264,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Low', 'Neuroticism': 'High'}",General Sadness
87,laughter,Explore the emotional landscape surrounding a villain character whose motivations include: laughter,"{'sadness': 0.5393251180648804, 'fear': 0.2626296877861023, 'anger': 0.1635097861289978, 'joy': 0.024700520560145378, 'love': 0.008268740028142929, 'surprise': 0.0015661843353882432}",sadness,0.5393251180648804,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'High', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
88,fight,Explore the emotional landscape surrounding a villain character whose motivations include: fight,"{'sadness': 0.4919426441192627, 'anger': 0.24567903578281403, 'fear': 0.23782972991466522, 'joy': 0.017517194151878357, 'love': 0.005940019153058529, 'surprise': 0.0010914134327322245}",sadness,0.4919426441192627,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
89,hunter,Explore the emotional landscape surrounding a villain character whose motivations include: hunter,"{'sadness': 0.4559067189693451, 'fear': 0.432386577129364, 'anger': 0.08933684229850769, 'joy': 0.014083794318139553, 'love': 0.007035751361399889, 'surprise': 0.0012503273319453}",sadness,0.4559067189693451,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
90,betrayal ,Explore the emotional landscape surrounding a villain character whose motivations include: betrayal ,"{'sadness': 0.583640456199646, 'anger': 0.24222351610660553, 'fear': 0.1605156660079956, 'love': 0.006585455033928156, 'joy': 0.0059719146229326725, 'surprise': 0.0010629631578922272}",sadness,0.583640456199646,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Very Low', 'Neuroticism': 'Very High'}",Vengeful Sadness / Bitter Resentment
91,emphasize,Explore the emotional landscape surrounding a villain character whose motivations include: emphasize,"{'sadness': 0.6979250907897949, 'fear': 0.1701412945985794, 'anger': 0.10245814919471741, 'joy': 0.02246924676001072, 'love': 0.006030762102454901, 'surprise': 0.0009754188940860331}",sadness,0.6979250907897949,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
92,fluent,Explore the emotional landscape surrounding a villain character whose motivations include: fluent,"{'sadness': 0.3548920750617981, 'joy': 0.32217636704444885, 'fear': 0.19955192506313324, 'anger': 0.11374484747648239, 'love': 0.007726237177848816, 'surprise': 0.0019085496896877885}",sadness,0.3548920750617981,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'High', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
94,touch,Explore the emotional landscape surrounding a villain character whose motivations include: touch,"{'sadness': 0.543719470500946, 'fear': 0.30538278818130493, 'anger': 0.09858398139476776, 'joy': 0.026923013851046562, 'love': 0.023806124925613403, 'surprise': 0.0015846573514863849}",sadness,0.543719470500946,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
95,mean,Explore the emotional landscape surrounding a villain character whose motivations include: mean,"{'sadness': 0.618022620677948, 'anger': 0.2686195969581604, 'fear': 0.09912048280239105, 'joy': 0.009267537854611874, 'love': 0.004083061125129461, 'surprise': 0.000886652385815978}",sadness,0.618022620677948,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Low', 'Neuroticism': 'High'}",General Sadness
98,military,Explore the emotional landscape surrounding a villain character whose motivations include: military,"{'sadness': 0.5922936797142029, 'fear': 0.3035683333873749, 'anger': 0.08304741978645325, 'joy': 0.01338331587612629, 'love': 0.006582373753190041, 'surprise': 0.0011248219525441527}",sadness,0.5922936797142029,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
99,destroy,Explore the emotional landscape surrounding a villain character whose motivations include: destroy,"{'sadness': 0.7616773843765259, 'anger': 0.12607231736183167, 'fear': 0.09833408892154694, 'joy': 0.00989365205168724, 'love': 0.0032638043630868196, 'surprise': 0.0007588391308672726}",sadness,0.7616773843765259,"{'Openness': 'Medium', 'Conscientiousness': 'Low', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
103,loneliness,Explore the emotional landscape surrounding a villain character whose motivations include: loneliness,"{'sadness': 0.9506128430366516, 'fear': 0.034372683614492416, 'anger': 0.009960483759641647, 'love': 0.002592854667454958, 'joy': 0.0019934289157390594, 'surprise': 0.00046784081496298313}",sadness,0.9506128430366516,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Very Low', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",Lonely Despair / Isolated Sorrow
104,beauty,Explore the emotional landscape surrounding a villain character whose motivations include: beauty,"{'sadness': 0.6663906574249268, 'fear': 0.16926318407058716, 'anger': 0.11531764268875122, 'joy': 0.03437504917383194, 'love': 0.01333976536989212, 'surprise': 0.0013136595953255892}",sadness,0.6663906574249268,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
